48
Pitch Fork
12
32
3,32,0,30,30,0
3,26,0,30,30,0
3,26,6,30,30,0
3,26,12,30,30,0
3,35,6,60,30,1
2,38,0,30,30,0
2,38,6,30,30,0
2,38,12,30,30,0
2,44,6,30,30,0
2,44,0,30,30,0
2,50,0,30,30,0
2,20,0,30,30,0
2,20,6,30,30,0
2,20,12,30,30,0
2,14,0,30,30,0
2,14,6,30,30,0
2,8,0,30,30,0
2,29,18,30,30,0
3,20,24,120,60,0
3,17,36,150,30,0
2,29,42,30,30,0
3,43,42,60,30,0
3,8,42,60,30,0
3,17,48,150,30,0
3,20,54,30,30,0
3,26,54,30,30,0
3,32,54,30,30,0
3,38,54,30,30,0
3,38,60,30,30,0
3,32,60,30,30,0
3,26,60,30,30,0
3,20,60,30,30,0
0,160,66,22,26,0
