40
Pitch Fork
18
30
3,23,0,90,30,0
1,23,6,90,30,0
3,29,12,30,30,0
3,29,18,30,30,0
2,37,12,30,30,0
2,37,18,30,30,0
2,21,12,30,30,0
2,21,18,30,30,0
2,32,24,150,30,0
2,2,24,150,30,0
2,16,30,150,30,0
2,46,30,90,30,0
2,-2,30,90,30,0
1,4,36,30,30,0
1,2,42,30,30,0
1,54,36,30,30,0
1,56,42,30,30,0
1,32,36,30,30,0
1,38,36,30,30,0
1,14,36,90,30,0
1,26,42,90,30,0
1,20,42,30,30,0
1,14,42,30,30,0
1,14,48,30,30,0
1,44,48,30,30,0
2,47,36,60,30,1
1,20,48,120,30,0
1,38,54,60,30,0
2,14,54,60,30,0
2,26,54,60,60,0
0,160,66,22,26,0
